"_v [cm]","Freq [GHz]","_u []","im(NearEX) [V_per_meter]"
-73.5,2.4,-0.105,-1.11074527903383
-73.5,2.4,-0.0975,-1.27938434869169
-73.5,2.4,-0.09,-1.43455779471632
-73.5,2.4,-0.0825,-1.57628773420256
-73.5,2.4,-0.075,-1.704744749536
-73.5,2.4,-0.0675,-1.82021529061535
-73.5,2.4,-0.06,-1.92307091320418
-73.5,2.4,-0.0525,-2.01373974684577
-73.5,2.4,-0.045,-2.09268046368571
-73.5,2.4,-0.0375,-2.16035891701263
-73.5,2.4,-0.03,-2.21722753555478
-73.5,2.4,-0.0225,-2.26370749599212
-73.5,2.4,-0.015,-2.30017365057935
-73.5,2.4,-0.0075,-2.32694215758537
-73.5,2.4,0,-2.34426074746407
-73.5,2.4,0.0075,-2.35208138289537
-73.5,2.4,0.015,-2.35093530406646
-73.5,2.4,0.0225,-2.34061490898025
-73.5,2.4,0.03,-2.32104712135347
-73.5,2.4,0.0375,-2.29207920864909
-73.5,2.4,0.045,-2.25348385619153
-73.5,2.4,0.0525,-2.20496671118119
-73.5,2.4,0.06,-2.14617644551049
-73.5,2.4,0.0675,-2.0767173927934
-73.5,2.4,0.075,-1.9961648116101
-73.5,2.4,0.0825,-1.90408281138339
-73.5,2.4,0.09,-1.80004494746167
-73.5,2.4,0.0975,-1.68365744605377
-73.5,2.4,0.105,-1.55458495616381
-73.5,2.4,0.1125,-1.41257864360432
-73.5,2.4,0.12,-1.25750634113773
-73.5,2.4,0.1275,-1.08938434920101
-73.5,2.4,0.135,-0.908410344848231
-73.5,2.4,0.1425,-0.714996704962748
-73.5,2.4,0.15,-0.509803387194771
-73.5,2.4,0.1575,-0.293769343643105
-73.5,2.4,0.165,-0.0681412747227809
-73.5,2.4,0.1725,0.165501627790909
-73.5,2.4,0.18,0.405228439078424
-73.5,2.4,0.1875,0.64874436089615
-73.5,2.4,0.195,0.893278253664403
-73.5,2.4,0.2025,1.13605644958759
-73.5,2.4,0.21,1.37357901345487
-73.5,2.4,0.2175,1.60217391602236
-73.5,2.4,0.225,1.8179082562173
-73.5,2.4,0.2325,2.01665144013378
-73.5,2.4,0.24,2.19415453671387
-73.5,2.4,0.2475,2.34614572687539
-73.5,2.4,0.255,2.46844110290694
-73.5,2.4,0.2625,2.55706931918614
-73.5,2.4,0.27,2.60840776161767
-73.5,2.4,0.2775,2.61932701763238
-73.5,2.4,0.285,2.58733952546057
-73.5,2.4,0.2925,2.51074740312806
-73.5,2.4,0.3,2.3887836539963
-73.5,2.4,0.3075,2.22174027237698
-73.5,2.4,0.315,2.01107628931697
-73.5,2.4,0.3225,1.75949856561121
-73.5,2.4,0.33,1.47100821455376
-73.5,2.4,0.3375,1.1509059724925
-73.5,2.4,0.345,0.805750671597413
-73.5,2.4,0.3525,0.443266231498407
-73.5,2.4,0.36,0.0721942795922296
-73.5,2.4,0.3675,-0.29790838539446
-73.5,2.4,0.375,-0.656925802387295
-73.5,2.4,0.3825,-0.994355935647511
-73.5,2.4,0.39,-1.30015794412212
-73.5,2.4,0.3975,-1.56441877566058
-73.5,2.4,0.405,-1.7781983884281
-73.5,2.4,0.4125,-1.93382216465702
-73.5,2.4,0.42,-2.02526350790328
-73.5,2.4,0.4275,-2.0484913922656
-73.5,2.4,0.435,-2.00176298825297
-73.5,2.4,0.4425,-1.88584195116472
-73.5,2.4,0.45,-1.70412454482967
-73.5,2.4,0.4575,-1.46265854632696
-73.5,2.4,0.465,-1.1700438299138
-73.5,2.4,0.4725,-0.837208579348489
-73.5,2.4,0.48,-0.477061064447123
-73.5,2.4,0.4875,-0.104023595322827
-73.5,2.4,0.495,0.266537685590138
-73.5,2.4,0.5025,0.618966485952669
-73.5,2.4,0.51,0.938026260597666
-73.5,2.4,0.5175,1.20963340906006
-73.5,2.4,0.525,1.42157658107259
-73.5,2.4,0.5325,1.56418241837353
-73.5,2.4,0.54,1.63088773442846
-73.5,2.4,0.5475,1.61868020951137
-73.5,2.4,0.555,1.52837427375277
-73.5,2.4,0.5625,1.36469592421505
-73.5,2.4,0.57,1.13623610741085
-73.5,2.4,0.5775,0.85478108336885
-73.5,2.4,0.585,0.535304034942102
-73.5,2.4,0.5925,0.194857956011069
-73.5,2.4,0.6,-0.148211770553601
-73.5,2.4,0.6075,-0.475261974879082
-73.5,2.4,0.615,-0.768401535042937
-73.5,2.4,0.6225,-1.01153518633444
-73.5,2.4,0.63,-1.19133669734502
-73.5,2.4,0.6375,-1.29808753455326
-73.5,2.4,0.645,-1.32632221309923
-73.5,2.4,0.6525,-1.27523093057905
-73.5,2.4,0.66,-1.14878346140851
-73.5,2.4,0.6675,-0.955554989749201
-73.5,2.4,0.675,-0.70825361934648
-73.5,2.4,0.6825,-0.422969509117121
-73.5,2.4,0.69,-0.118185556423156
-73.5,2.4,0.6975,0.18639218677507
-73.5,2.4,0.705,0.471111075929917
-73.5,2.4,0.7125,0.717671492613303
-73.5,2.4,0.72,0.910360497479561
